team,seed,in_tournament,off_rating,def_rating,net_rating,pace,net_rank,rpi_rank,elo_rating,stadium_lat,stadium_lng
Texas,1.0,True,116.0,77.3,38.7,73.3,4.0,,1926.21,30.287,-97.7365
UCLA,1.0,True,121.8,82.1,39.7,69.9,2.0,,1973.77,34.0708,-118.4452
South Carolina,1.0,True,116.7,78.7,38.0,73.7,3.0,,1918.13,33.9988,-81.0368
Connecticut,1.0,True,120.2,68.7,51.5,73.9,1.0,,1944.15,41.8084,-72.2518
Iowa,2.0,True,106.1,89.4,16.7,72.1,10.0,,1812.17,41.6596,-91.5491
LSU,2.0,True,119.4,78.0,41.4,79.1,5.0,,1817.91,30.4122,-91.1797
Vanderbilt,2.0,True,115.0,89.1,25.8,73.6,7.0,,1782.67,36.1439,-86.8027
Michigan,2.0,True,109.5,82.7,26.7,75.2,6.0,,1784.6,42.2786,-83.7487
Louisville,3.0,True,109.8,84.2,25.6,72.0,11.0,,1736.78,38.2543,-85.7566
TCU,3.0,True,109.4,79.5,29.9,70.7,12.0,,1785.76,32.7098,-97.37
Ohio State,3.0,True,106.7,86.4,20.3,76.3,15.0,,1766.8,40.0011,-83.0198
Duke,3.0,True,102.2,82.2,20.0,72.3,8.0,,1805.29,36.0001,-78.9407
West Virginia,4.0,True,104.9,80.3,24.6,72.7,18.0,,1792.04,39.648,-79.9558
North Carolina,4.0,True,106.0,82.6,23.4,70.1,19.0,,1759.2,35.9049,-79.0469
Oklahoma,4.0,True,105.7,83.5,22.2,81.4,13.0,,1757.72,35.1929,-97.4521
Minnesota,4.0,True,109.3,84.3,25.0,68.0,9.0,,1699.34,44.9751,-93.2281
Kentucky,5.0,True,107.6,86.9,20.7,70.3,16.0,,1665.21,38.0278,-84.4994
Michigan State,5.0,True,112.5,89.6,22.8,73.5,17.0,,1641.06,42.727,-84.4894
Maryland,5.0,True,109.7,85.0,24.7,73.5,14.0,,1669.02,38.9897,-76.9378
Ole Miss,5.0,True,105.0,86.4,18.6,71.6,20.0,,1643.9,34.3615,-89.5376
Notre Dame,6.0,True,106.0,87.5,18.5,73.2,21.0,,1693.68,41.701,-86.238
Alabama,6.0,True,100.8,88.5,12.4,69.5,27.0,,1647.34,33.2093,-87.5511
Washington,6.0,True,102.7,89.7,13.0,68.7,25.0,,1637.24,47.6546,-122.3016
Baylor,6.0,True,98.6,83.3,15.3,72.2,32.0,,1661.26,31.5491,-97.1151
Illinois,7.0,True,108.0,92.0,16.0,71.7,30.0,,1606.16,40.098,-88.2722
North Carolina State,7.0,True,104.4,89.5,14.9,73.0,26.0,,1641.96,35.7873,-78.687
Texas Tech,7.0,True,101.0,81.5,19.5,71.3,31.0,,1617.26,33.5887,-101.8841
Georgia,7.0,True,101.8,85.8,16.0,71.7,34.0,,1613.38,33.9452,-83.3768
Oregon,8.0,True,101.4,87.2,14.3,72.6,24.0,,1596.69,44.0521,-123.0684
Clemson,8.0,True,102.3,88.2,14.1,65.4,41.0,,1586.8,34.6776,-82.8374
Iowa State,8.0,True,111.8,91.6,20.2,73.7,33.0,,1609.4,42.0267,-93.6465
Oklahoma State,8.0,True,111.0,88.5,22.5,72.7,29.0,,1635.69,36.1258,-97.0672
Princeton,9.0,True,107.2,88.8,18.3,67.1,38.0,,1730.0,40.345,-74.655
USC,9.0,True,97.2,87.5,9.8,71.9,22.0,,1579.21,34.0209,-118.27
Virginia Tech,9.0,True,98.8,83.2,15.6,73.2,40.0,,1632.88,37.2244,-80.4246
Syracuse,9.0,True,101.0,86.0,15.0,72.3,39.0,,1604.15,43.0361,-76.1363
Virginia,10.0,True,105.8,90.2,15.6,69.4,36.0,,1547.75,38.0356,-78.507
Arizona State,10.0,True,92.2,84.1,8.1,71.7,51.0,,1567.25,33.4256,-111.9327
Tennessee,10.0,True,101.0,91.4,9.7,75.9,23.0,,1569.71,35.955,-83.9257
Villanova,10.0,True,100.7,85.9,14.7,71.4,35.0,,1696.75,40.0352,-75.3452
Colorado,10.0,True,95.6,86.3,9.3,70.7,46.0,,1641.83,40.0076,-105.2659
Rhode Island,11.0,True,101.5,82.5,19.1,65.5,49.0,,1704.07,41.4807,-71.53
Fairfield,11.0,True,108.4,80.6,27.8,69.7,53.0,,1684.94,41.1548,-73.2607
South Dakota State,11.0,True,109.6,87.9,21.7,69.8,42.0,,1672.54,44.3116,-96.7984
Nebraska,11.0,True,109.1,94.1,15.0,72.7,28.0,,1528.59,40.8035,-96.7084
Richmond,11.0,True,107.2,86.9,20.3,66.7,37.0,,1667.89,37.5701,-77.5425
Murray State,12.0,True,112.9,98.8,14.1,74.8,88.0,,1696.52,36.6177,-88.3206
Colorado State,12.0,True,99.1,83.6,15.5,66.5,70.0,,1622.33,40.5759,-105.0853
James Madison,12.0,True,102.9,84.3,18.6,72.1,45.0,,1685.52,38.4356,-78.8753
Gonzaga,12.0,True,103.8,90.9,12.9,70.3,61.0,,1611.11,47.6673,-117.4025
Western Illinois,13.0,True,104.9,87.2,17.7,69.9,90.0,,1567.84,40.4614,-90.6682
Miami (OH),13.0,True,98.4,83.4,15.0,70.6,75.0,,1639.64,39.5112,-84.7346
Idaho,13.0,True,99.5,85.8,13.7,76.2,99.0,,1637.8,46.7254,-117.0097
Green Bay,13.0,True,98.5,86.3,12.2,69.0,97.0,,1554.67,44.5193,-87.9956
Charleston,14.0,True,104.3,87.2,17.1,68.1,101.0,,1594.76,32.7765,-79.9371
Howard,14.0,True,93.1,82.7,10.4,71.9,154.0,,1550.52,38.9222,-77.0199
Vermont,14.0,True,100.7,83.3,17.4,62.1,81.0,,1609.6,44.4759,-73.1965
UC San Diego,14.0,True,96.2,85.6,10.6,72.2,112.0,,1575.52,32.8779,-117.2363
